"","citizen","count"
"1","",6
"2","Albania",6
"3","Algeria",1
"4","Andorra",1
"5","Argentina",23
"6","Argentina/Canada",2
"7","Armenia",1
"8","Australia",124
"9","Australia/New Zealand",1
"10","Austria",73
"11","Azerbaijan",1
"12","Azerbaijan/Russia",1
"13","Bangladesh",6
"14","Belarus",4
"15","Belgium",20
"16","Bhutan",1
"17","Bolivia",3
"18","Bosnia-Herzegovina/USA",1
"19","Brazil",31
"20","Bulgaria",16
"21","Canada",134
"22","Canada/Macedonia",1
"23","Canada/USA",1
"24","Chile",34
"25","China",768
"26","China/USA",1
"27","Colombia",11
"28","Costa Rica",1
"29","Croatia",4
"30","Cyprus",2
"31","Czech Republic",12
"32","Czechoslovakia",4
"33","Denmark",21
"34","Dominican Republic",2
"35","Ecuador",23
"36","Egypt",1
"37","Egypt/UK",1
"38","Estonia",3
"39","Finland",20
"40","France",127
"41","France/Algeria",1
"42","France/Switzerland",1
"43","France/USA",1
"44","Georgia",11
"45","Germany",81
"46","Greece",15
"47","Guatemala",3
"48","Hong Kong",1
"49","Hungary",6
"50","Iceland",9
"51","India",535
"52","Indonesia",12
"53","Iran",27
"54","Ireland",40
"55","Ireland/UK",5
"56","Israel",5
"57","Italy",83
"58","Japan",252
"59","Japan/China",1
"60","Jordan",1
"61","Kazakhstan",17
"62","Kosovo",5
"63","Kuwait",1
"64","Latvia",8
"65","Lebanon",6
"66","Lithuania",5
"67","Luxembourg",2
"68","Macedonia",3
"69","Malaysia",26
"70","Malta",7
"71","Mauritius",1
"72","Mexico",56
"73","Moldova",2
"74","Mongolia",10
"75","Montenegro",3
"76","Morocco",3
"77","Myanmar",2
"78","Nepal",4859
"79","Nepal/Australia",1
"80","Nepal/Canada",1
"81","Nepal/India",1
"82","Netherlands",32
"83","New Zealand",106
"84","New Zealand/UK",1
"85","Norway",66
"86","Oman",2
"87","Pakistan",5
"88","Palestine",2
"89","Panama",1
"90","Paraguay/Germany",1
"91","Peru",5
"92","Philippines",8
"93","Poland",64
"94","Poland/Canada",1
"95","Portugal",4
"96","Qatar",2
"97","Romania",10
"98","Russia",209
"99","S Africa",37
"100","S Africa/Zambia",1
"101","S Korea",135
"102","San Marino",1
"103","Saudi Arabia",4
"104","Saudi Arabia/USA",1
"105","Serbia",8
"106","Serbia/Jordan",1
"107","Singapore",19
"108","Slovakia",4
"109","Slovenia",11
"110","Spain",102
"111","Sri Lanka",2
"112","Sweden",34
"113","Switzerland",79
"114","Switzerland/Greece",1
"115","Syria",1
"116","Taiwan",13
"117","Tanzania",1
"118","Thailand",3
"119","Tunisia",1
"120","Turkey",18
"121","Turkey/USA",1
"122","UAE",8
"123","UK",465
"124","UK/Australia",1
"125","UK/Iceland",1
"126","UK/Kenya",1
"127","UK/Nepal",1
"128","UK/Russia",1
"129","Ukraine",30
"130","Uruguay",1
"131","USA",884
"132","USA/Brazil",1
"133","USA/Dominican Republic",1
"134","USA/Ireland",1
"135","USA/Jamaica",1
"136","USA/Poland",1
"137","USA/UK",2
"138","USSR",31
"139","Uzbekistan",12
"140","Venezuela",2
"141","Vietnam",3
"142","W Germany",13
"143","Yugoslavia",11
