,citizen,count,country_flag
1,Nepal,4859,https://ibb.co/NZk3p33
2,USA,884,https://www.countryflags.io/us/shiny/64.png
3,China,768,https://www.countryflags.io/cn/shiny/64.png
4,India,535,https://www.countryflags.io/in/shiny/64.png
5,UK,465,https://www.countryflags.io/gb/shiny/64.png
6,Japan,252,https://www.countryflags.io/jp/shiny/64.png
7,Russia,209,https://www.countryflags.io/ru/shiny/64.png
8,S Korea,135,https://www.countryflags.io/kr/shiny/64.png
9,Canada,134,https://www.countryflags.io/ca/shiny/64.png
10,France,127,https://www.countryflags.io/fr/shiny/64.png
11,Australia,124,https://www.countryflags.io/au/shiny/64.png
12,New Zealand,106,https://www.countryflags.io/nz/shiny/64.png
13,Spain,102,https://www.countryflags.io/es/shiny/64.png
14,Italy,83,https://www.countryflags.io/it/shiny/64.png
15,Germany,81,https://www.countryflags.io/de/shiny/64.png
