header,fname,lname,name,citizen,village,sex,age,yob,status,hired,leader,deputy,sherpa,tibetan,abovebc,success,solo,traverse,ski,o2used,o2none,smtcnt,msmtdate1,msmttime1,dsmttime1,msmtdate2,msmttime2,dsmttime2,msmtdate3,msmttime3,dsmttime3,claimed,disputed,inj,death,deathdate,deathtime,ddthtime,deathtype,deathclass,deathhgtm,ams,weather,mperhighpt,mperhighdt,msmtbid,msmtterm,yearseas,peakid,expid,membid,host,route1,route2,comrte,stdrte,agency,agntid,myear,mseason,maxatt,att1st
,Tenzing Norgay,,Tenzing Norgay,India,,M,39,1914,Sirdar,1,0,0,0,1,1,1,0,0,0,1,0,1,29-05-1953,1130,11.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1953 Spr,EVER,EVER-531-01,14,1,S Col-SE Ridge,,1,1,,,1953,1,0,TRUE
,Edmund Percival,Hillary,Edmund Percival Hillary,New Zealand,,M,33,1919,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,29-05-1953,1130,11.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1953 Spr,EVER,EVER-531-01,06,1,S Col-SE Ridge,,1,1,,,1953,1,0,TRUE
,Juerg P.,Marmet,Juerg P. Marmet,Switzerland,,M,28,1927,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,23-05-1956,1400,14,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 23,5, 1,1956 Spr,EVER,EVER-561-01,07,1,S Col-SE Ridge,,1,1,,,1956,1,0,TRUE
,Adolf (Dolf),Reist,Adolf (Dolf) Reist,Switzerland,,M,35,1921,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,24-05-1956,1100,11,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,1956 Spr,EVER,EVER-561-01,09,1,S Col-SE Ridge,,1,1,,,1956,1,0,TRUE
,Ernst,Schmied,Ernst Schmied,Switzerland,,M,31,1924,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,23-05-1956,1400,14,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 23,5, 1,1956 Spr,EVER,EVER-561-01,10,1,S Col-SE Ridge,,1,1,,,1956,1,0,TRUE
,Hans-Rudolf,Von Gunten,Hans-Rudolf Von Gunten,Switzerland,,M,27,1928,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,24-05-1956,1100,11,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,1956 Spr,EVER,EVER-561-01,11,1,S Col-SE Ridge,,1,1,,,1956,1,0,TRUE
,Gombu (Konbu),,Gombu (Konbu),China,,M,25,1935,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,25-05-1960,0205,2.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,1960 Spr,EVER,EVER-601-02,05,2,N Col-NE Ridge,,1,1,,,1960,1,0,TRUE
,Ying-Hua,Qu,Ying-Hua Qu,China,,M,25,1935,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,25-05-1960,0205,2.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,1960 Spr,EVER,EVER-601-02,17,2,N Col-NE Ridge,,1,1,,,1960,1,0,TRUE
,Fu-Chou,Wang,Fu-Chou Wang,China,,M,24,1935,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,25-05-1960,0205,2.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,1960 Spr,EVER,EVER-601-02,21,2,N Col-NE Ridge,,1,1,,,1960,1,0,TRUE
,Nawang Gombu,,Nawang Gombu,India,,M,26,1936,H-A Worker,1,0,0,0,1,1,1,0,0,0,1,0,1,01-05-1963,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 1,5, 1,1963 Spr,EVER,EVER-631-01,21,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,Barry Chapman,Bishop,Barry Chapman Bishop,USA,,M,31,1932,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,22-05-1963,1530,15.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1963 Spr,EVER,EVER-631-01,04,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,Thomas Frederick,Hornbein,Thomas Frederick Hornbein,USA,,M,32,1930,Climber,0,0,0,0,0,1,1,0,1,0,1,0,1,22-05-1963,1830,18.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1963 Spr,EVER,EVER-631-01,10,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,Luther Gerald (Lute),Jerstad,Luther Gerald (Lute) Jerstad,USA,,M,26,1936,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,22-05-1963,1530,15.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1963 Spr,EVER,EVER-631-01,11,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,William Francis (Willi),Unsoeld,William Francis (Willi) Unsoeld,USA,,M,36,1926,Climber,0,0,0,0,0,1,1,0,1,0,1,0,1,22-05-1963,1830,18.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1963 Spr,EVER,EVER-631-01,19,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,James W. (Jim),Whittaker,James W. (Jim) Whittaker,USA,,M,34,1929,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,01-05-1963,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 1,5, 1,1963 Spr,EVER,EVER-631-01,20,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,Nawang Gombu,,Nawang Gombu,India,,M,28,1936,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,20-05-1965,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 20,5, 1,1965 Spr,EVER,EVER-651-01,03,1,S Col-SE Ridge,,1,1,,,1965,1,0,FALSE
,Sonam Gyatso,,Sonam Gyatso,India,,M,42,1923,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,22-05-1965,1230,12.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1965 Spr,EVER,EVER-651-01,04,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Sonam Wangyal,,Sonam Wangyal,India,,M,23,1942,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,22-05-1965,1230,12.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1965 Spr,EVER,EVER-651-01,05,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Hari Pal Singh,Ahluwalia,Hari Pal Singh Ahluwalia,India,,M,27,,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,29-05-1965,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1965 Spr,EVER,EVER-651-01,06,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Autar Singh,Cheema,Autar Singh Cheema,India,,M,27,1938,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,20-05-1965,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 20,5, 1,1965 Spr,EVER,EVER-651-01,11,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Harish Chandra Singh,Rawat,Harish Chandra Singh Rawat,India,,M,30,1934,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,29-05-1965,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1965 Spr,EVER,EVER-651-01,14,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Ang Kami,Sherpa,Ang Kami Sherpa,India,,M,0,,Climber,0,0,0,1,0,1,1,0,0,0,1,0,1,24-05-1965,1045,10.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,1965 Spr,EVER,EVER-651-01,15,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Phu Dorje,Sherpa,Phu Dorje Sherpa (Khumjung),Nepal, (Khumjung),M,27,1937,Assistant Sirdar,1,0,0,1,0,1,1,0,0,0,1,0,1,29-05-1965,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1965 Spr,EVER,EVER-651-01,27,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,C. P.,Vohra,C. P. Vohra,India,,M,30,1934,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,24-05-1965,1045,10.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,1965 Spr,EVER,EVER-651-01,20,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Katsutoshi,Hirabayashi,Katsutoshi Hirabayashi,Japan,,M,35,1934,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,12-05-1970,0955,9.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 12,5, 1,1970 Spr,EVER,EVER-701-02,08,1,S Col-SE Ridge,SW Face (to 8050m),0,0,,,1970,1,0,TRUE
,Teruo,Matsuura,Teruo Matsuura,Japan,,M,36,1934,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,11-05-1970,0910,9.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 11,5, 1,1970 Spr,EVER,EVER-701-02,21,1,S Col-SE Ridge,SW Face (to 8050m),0,0,,,1970,1,0,TRUE
,Chotare,Sherpa,Chotare Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,37,1932,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,12-05-1970,0955,9.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 12,5, 1,1970 Spr,EVER,EVER-701-02,40,1,S Col-SE Ridge,SW Face (to 8050m),0,0,,,1970,1,0,TRUE
