label,expcnt-failure,mbrcnt-faliure,mmemcnt-failure,fmemcnt-failure,expcnt-success,mbrcnt-success,mmemcnt-success,fmemcnt-success
1950,0,0,0,0,0,0,0,0
1951,2,13,13,0,0,0,0,0
1952,2,38,38,0,0,0,0,0
1953,1,21,21,0,1,2,2,0
1954,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0
1956,1,12,12,0,1,4,4,0
1957,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0
1960,1,17,17,0,1,3,3,0
1961,0,0,0,0,0,0,0,0
1962,2,25,25,0,0,0,0,0
1963,1,19,19,0,1,6,6,0
1964,0,0,0,0,0,0,0,0
1965,1,15,15,0,1,9,9,0
1966,1,3,3,0,0,0,0,0
1967,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0
1969,2,15,15,0,0,0,0,0
1970,2,30,29,1,1,4,4,0
1971,2,37,36,1,0,0,0,0
1972,2,36,35,1,0,0,0,0
1973,2,43,43,0,2,10,10,0
1974,2,26,26,0,0,0,0,0
1975,2,6,4,2,3,15,13,2
1976,2,26,24,2,2,4,4,0
1977,1,8,8,0,1,2,2,0
1978,3,9,9,0,3,25,24,1
1979,3,30,30,0,3,20,19,1
1980,7,58,57,1,4,8,8,0
1981,5,52,51,1,1,5,5,0
1982,8,65,64,1,3,18,18,0
1983,12,64,60,4,5,23,23,0
1984,13,115,110,5,5,16,15,1
1985,12,110,106,4,3,30,30,0
1986,14,58,52,6,2,4,3,1
1987,16,69,62,7,1,2,2,0
1988,18,129,127,2,11,50,47,3
1989,25,171,158,13,8,24,24,0
1990,20,98,87,11,10,72,67,5
1991,31,177,167,10,11,38,38,0
1992,29,173,165,8,16,90,88,2
1993,27,126,118,8,23,129,114,15
1994,24,135,125,10,8,51,51,0
1995,20,94,89,5,17,82,80,2
1996,37,200,190,10,18,98,91,7
1997,35,155,141,14,17,85,83,2
1998,37,126,113,13,24,119,116,3
1999,33,126,113,13,24,115,105,10
2000,54,221,207,14,32,145,138,7
2001,48,194,186,8,33,182,171,11
2002,37,128,104,24,36,158,150,8
2003,64,318,291,27,47,264,254,10
2004,49,174,159,15,52,335,317,18
2005,79,321,283,38,53,307,286,21
2006,72,259,235,24,75,483,460,23
2007,75,268,241,27,73,611,577,34
2008,38,165,157,8,49,428,394,34
2009,64,260,231,29,55,463,430,33
2010,57,215,201,14,71,532,498,34
2011,65,256,225,31,65,541,508,33
2012,60,235,215,20,69,573,529,44
2013,55,174,154,20,72,678,633,45
2014,27,67,62,5,11,133,125,8
2015,46,541,516,25,0,0,0,0
2016,51,154,142,12,73,678,611,67
2017,59,205,179,26,67,680,629,51
2018,54,150,133,17,80,810,740,70
2019,62,223,205,18,78,873,779,94
2020,1,6,5,1,3,28,21,7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
